Filename,Hex,R,G,B,L,A,B_lab
black (1).jpg,#8E472B,142,71,43,99,156,158
black (2).jpg,#704932,112,73,50,89,142,148
black (3).jpg,#534035,83,64,53,74,134,138
black (4).jpg,#3F2D23,63,45,35,52,134,138
black (5).jpg,#BF703D,191,112,61,141,155,169
black (6).jpg,#A86A4C,168,106,76,130,149,155
black (7).jpg,#7F4024,127,64,36,88,153,157
black (8).jpg,#BD6C51,189,108,81,138,157,157
black (9).jpg,#92522C,146,82,44,106,151,161
black (10).jpg,#B57E60,181,126,96,147,146,153
black (11).jpg,#553E34,85,62,52,72,137,138
black (12).jpg,##AA684E,170,104,64,129,151,161
black (13).jpg,#4B351E,75,53,30,62,135,147
black (14).jpg,#725139,114,81,57,95,139,148
black (15).jpg,#BD6546,189,101,70,134,161,161
black (16).jpg,#733D2B,115,61,43,82,150,150
black (17).jpg,#7A4B3B,122,75,59,94,146,146
black (18).jpg,#603920,96,57,32,72,143,151
black (19).jpg,#955937,149,89,55,112,149,158
black (20).jpg,#C87A4A,200,122,74,150,154,167
black (21).jpg,#57291C,87,41,28,58,148,146
black (22).jpg,#834735,131,71,53,95,152,150
black (23).jpg,#703619,112,54,25,76,152,157
black (24).jpg,#9D6738,157,103,56,124,145,163
black (25).jpg,#7D4430,125,68,48,90,150,151
black (26).jpg,#9E6048,158,96,72,120,151,152
black (27).jpg,#AD5F3B,173,95,59,124,157,162
black (28).jpg,#473B3C,71,59,60,67,133,130
black (29).jpg,#A7694A,167,105,74,129,149,156
black (30).jpg,#613729,97,55,41,71,145,145
black (31).jpg,#90512F,144,81,47,105,151,159
black (32).jpg,#8E4723,142,71,35,98,155,162
black (33).jpg,#5D493D,93,73,61,84,134,138
black (34).jpg,#7C483A,124,72,58,93,149,146
black (35).jpg,#582814,88,40,20,57,148,151
black (36).jpg,#813A1C,129,58,28,85,157,160
black (37).jpg,#A0725A,160,114,90,133,143,148
black (38).jpg,#6D5356,109,83,86,97,139,130
black (39).jpg,#874435,135,68,53,95,155,150
black (40).jpg,#BD7F56,189,127,86,150,148,160
black (41).jpg,#A16B51,161,107,81,128,147,151
black (42).jpg,#803309,128,51,9,81,159,167
black (43).jpg,#995A42,153,90,66,115,151,153
black (44).jpg,#8F5844,143,88,68,110,148,149
black (45).jpg,#B56E4C,181,110,76,137,153,159
black (46).jpg,#87603F,135,96,63,112,140,153
black (47).jpg,#B36034,179,96,52,127,158,167
black (48).jpg,#9E6D4A,158,109,74,129,143,155
black (49).jpg,#BA6748,186,103,72,134,158,160
black (50).jpg,#9C4D32,156,77,50,108,159,159
black (51).jpg,#A96743,169,103,67,128,151,159
black (52).jpg,#9C6953,156,105,83,126,146,149
black (53).jpg,#B77B57,183,123,87,145,147,157
black (54).jpg,#784230,120,66,48,87,149,149
black (55).jpg,#B36D3C,179,109,60,135,151,166
black (56).jpg,#B96F64,185,111,100,139,156,147
black (57).jpg,#B26F54,178,111,84,136,152,154
black (58).jpg,#A06A51,160,106,81,128,147,151
black (59).jpg,#874830,135,72,48,97,152,154
black (60).jpg,#A97F71,169,127,113,145,142,142
black (61).jpg,#BF7E6A,191,126,106,151,151,149
black (62).jpg,#936753,147,103,83,122,143,146
black (63).jpg,#A36856,163,104,86,127,150,148
black (64).jpg,#955238,149,82,56,108,153,155
black (65).jpg,#A15B36,161,91,54,117,153,161
black (66).jpg,#A67958,166,121,88,139,141,153
black (67).jpg,#805232,128,82,50,100,144,155
black (68).jpg,#A97249,169,114,73,135,145,159
black (69).jpg,#9D6941,157,105,65,125,144,159
black (70).jpg,#6C3A27,108,58,39,77,148,149
black (71).jpg,#895847,137,88,71,108,146,146
black (72).jpg,#86441B,134,68,27,93,153,164
black (73).jpg,#8E6548,142,101,72,118,141,151
black (74).jpg,#593E21,89,62,33,73,136,151
black (75).jpg,#5F4639,95,70,57,82,137,140
black (76).jpg,#604E3A,96,78,58,88,132,143
black (77).jpg,#A96C50,169,108,80,132,149,154
black (78).jpg,#9C603E,156,96,62,119,149,157
black (79).jpg,#B06B44,176,107,68,133,152,161
black (80).jpg,#915D3E,145,93,62,114,146,154
black (81).jpg,#795348,121,83,72,100,142,141
black (82).jpg,#985030,152,80,48,108,155,160
black (83).jpg,#542A1D,84,42,29,57,146,145
black (84).jpg,#81513D,129,81,61,101,146,148
black (85).jpg,#542E23,84,46,35,60,144,143
black (86).jpg,#8F593E,143,89,62,110,147,153
black (87).jpg,#825343,130,83,67,102,146,145
black (88).jpg,#733C30,115,60,48,82,151,146
black (89).jpg,#6D4A2B,109,74,43,88,139,152
black (90).jpg,#815036,129,80,54,100,146,152
black (91).jpg,#8D4D32,141,77,50,102,153,156
black (92).jpg,#B67D60,182,125,96,147,147,153
black (93).jpg,#773516,119,53,22,78,155,160
black (94).jpg,#9C664C,156,102,76,124,147,152
black (95).jpg,#985A39,152,90,57,114,150,158
black (96).jpg,#5A4439,90,68,57,79,136,138
black (97).jpg,#875138,135,81,56,102,148,152
black (98).jpg,#6E4635,110,70,53,86,143,145
black (99).jpg,#623F3D,98,63,61,78,143,136
black (100).jpg,#8C4E29,140,78,41,102,151,161
black (101).jpg,#534035,83,64,53,74,134,138
black (102).jpg,#6D3820,109,56,32,76,149,153
black (103).jpg,#654B35,101,75,53,87,136,145
black (104).jpg,#58402D,88,64,45,75,136,144
black (105).jpg,#7D3F2B,125,63,43,87,153,152
black (106).jpg,#8C5336,140,83,54,105,149,155
black (107).jpg,#412F25,65,47,37,54,135,138
black (108).jpg,#A2603E,162,96,62,121,151,159
black (109).jpg,#7C5E44,124,94,68,108,136,148
black (110).jpg,#9C5F4C,156,95,76,119,151,149
black (111).jpg,#653321,101,51,33,70,148,149
black (112).jpg,#4D3930,77,57,48,66,135,137
black (113).jpg,#96563B,150,86,59,111,152,155
black (114).jpg,#7A3D32,122,61,50,85,153,147
black (115).jpg,#643E22,100,62,34,77,142,152
black (116).jpg,#9C6D52,156,109,82,128,143,151
