Filename,Hex,R,G,B,L,A,B_lab
white (1).jpg,#EDCAAE,237,202,174,213,136,147
white (2).jpg,#F1E3E2,241,227,226,233,133,130
white (3).jpg,#E6BFB7,230,191,183,205,141,137
white (4).jpg,#FBE7DF,251,231,223,237,133,134
white (5).jpg,#FCCBAE,252,203,174,218,141,149
white (6).jpg,#EEC3A5,238,195,165,209,139,149
white (7).jpg,#EBCFCB,235,207,203,218,137,134
white (8).jpg,#D0A8A0,208,168,160,184,141,138
white (9).jpg,#E4C6BC,228,198,188,210,137,137
white (10).jpg,#E2DCD5,226,220,213,225,129,132
white (11).jpg,#ECD8CF,236,216,207,224,133,135
white (12).jpg,#F2D5C9,242,213,201,223,136,138
white (13).jpg,#F0C6B8,240,198,184,212,141,141
white (14).jpg,#EEC6C1,238,198,193,212,141,136
white (15).jpg,#FAE5D1,250,229,209,235,132,140
white (16).jpg,#E3AF8A,227,175,138,192,142,154
white (17).jpg,#FFDACB,255,218,203,229,139,140
white (18).jpg,#FFDDCA,255,221,202,231,137,142
white (19).jpg,#F0DCD2,240,220,210,227,133,135
white (20).jpg,#FBE4CD,251,228,205,234,132,142
white (21).jpg,#EFCFB9,239,207,185,218,136,143
white (22).jpg,#E7AFA0,231,175,160,194,146,144
white (23).jpg,#EFE0DA,239,224,218,230,132,133
white (24).jpg,#EBD3C9,235,211,201,220,135,136
white (25).jpg,#EED2AC,238,210,172,219,132,150
white (26).jpg,#E5C2B4,229,194,180,207,138,140
white (27).jpg,#F3E0C7,243,224,199,230,131,143
white (28).jpg,#F8D4C1,248,212,193,223,138,142
white (29).jpg,#EDBFA6,237,191,166,206,141,147
white (30).jpg,#E8C7B7,232,199,183,211,137,140
white (31).jpg,#FCE9E2,252,233,226,239,133,134
white (32).jpg,#FCECED,252,236,237,242,134,129
white (33).jpg,#E2CEBD,226,206,189,214,132,139
white (34).jpg,#FCDDCA,252,221,202,230,136,141
white (35).jpg,#FECFAD,254,207,173,220,140,151
white (36).jpg,#E1BFA3,225,191,163,203,136,147
white (37).jpg,#F5EDF1,245,237,241,241,131,127
