"brand","brand_short","product","product_short","hex","H","S","V","L","group"
"Maybelline","mb","Fit Me","fmf","f3cfb3",26,0.26,0.95,86,2
"Maybelline","mb","Fit Me","fmf","ffe3c2",32,0.24,1,92,2
"Maybelline","mb","Fit Me","fmf","ffe0cd",23,0.2,1,91,2
"Maybelline","mb","Fit Me","fmf","ffd3be",19,0.25,1,88,2
"Maybelline","mb","Fit Me","fmf","bd9584",18,0.3,0.74,65,2
"Maybelline","mb","Fit Me","fmf","eabda6",20,0.29,0.92,80,2
"Maybelline","mb","Fit Me","fmf","fbd2ad",28,0.31,0.98,87,2
"Maybelline","mb","Fit Me","fmf","e2b597",24,0.33,0.89,77,2
"Maybelline","mb","Fit Me","fmf","e4b38e",26,0.38,0.89,77,2
"Maybelline","mb","Fit Me","fmf","b2856f",20,0.38,0.7,60,2
"Maybelline","mb","Fit Me","fmf","e8ba8c",30,0.4,0.91,79,2
"Maybelline","mb","Fit Me","fmf","f3b584",26,0.46,0.95,79,2
"Maybelline","mb","Fit Me","fmf","f0b996",23,0.37,0.94,80,2
"Maybelline","mb","Fit Me","fmf","e3b082",28,0.43,0.89,76,2
"Maybelline","mb","Fit Me","fmf","eab181",27,0.45,0.92,77,2
"Maybelline","mb","Fit Me","fmf","9d7359",23,0.43,0.62,52,2
"Maybelline","mb","Fit Me","fmf","e2aa7b",27,0.46,0.89,74,2
"Maybelline","mb","Fit Me","fmf","d99358",27,0.59,0.85,67,2
"Maybelline","mb","Fit Me","fmf","9c744f",29,0.49,0.61,52,2
"Maybelline","mb","Fit Me","fmf","b18b65",30,0.43,0.69,61,2
"Maybelline","mb","Fit Me","fmf","84583f",22,0.52,0.52,42,2
"Maybelline","mb","Fit Me","fmf","7d5631",29,0.61,0.49,40,2
"Maybelline","mb","Fit Me","fmf","c07746",24,0.64,0.75,57,2
"Maybelline","mb","Fit Me","fmf","643c27",21,0.61,0.39,30,2
"Maybelline","mb","Fit Me","fmf","edcfb9",25,0.22,0.93,85,2
"Maybelline","mb","Fit Me","fmf","e1bba7",21,0.26,0.88,79,2
"Maybelline","mb","Fit Me","fmf","c1a07e",30,0.35,0.76,68,2
"Maybelline","mb","Fit Me","fmf","d09e7c",24,0.4,0.82,69,2
"Maybelline","mb","Fit Me","fmf","c7967d",20,0.37,0.78,66,2
"Maybelline","mb","Fit Me","fmf","c09578",24,0.38,0.75,65,2
"Maybelline","mb","Fit Me","fmf","9d6f48",28,0.54,0.62,51,2
"Maybelline","mb","Fit Me","fmf","a86d40",26,0.62,0.66,52,2
"Maybelline","mb","Fit Me","fmf","7f5c3b",29,0.54,0.5,42,2
"Maybelline","mb","Fit Me","fmf","735642",24,0.43,0.45,39,2
"Maybelline","mb","Fit Me","fmf","6b5041",21,0.39,0.42,37,2
"Maybelline","mb","Fit Me","fmf","7d5c4d",19,0.38,0.49,42,2
"Maybelline","mb","Fit Me","fmf","5c4433",25,0.45,0.36,31,2
"Maybelline","mb","Fit Me","fmf","5e3a23",23,0.63,0.37,28,2
"Maybelline","mb","Fit Me","fmf","5e4638",22,0.4,0.37,32,2
"Maybelline","mb","Fit Me","fmf","3f2018",12,0.62,0.25,16,2
"L'Oréal","lo","Infalliable","ipm","f3c6a2",27,0.33,0.95,83,2
"L'Oréal","lo","Infalliable","ipm","e5ad8b",23,0.39,0.9,75,2
"L'Oréal","lo","Infalliable","ipm","e7ad82",26,0.44,0.91,76,2
