brand,brand_short,product,product_short,hex,H,S,V,L,group,R,G,B,L_lab,a_lab,b_lab
Maybelline,mb,Fit Me,fmf,f3cfb3,26,0.26,0.95,86,2,243,207,179,85,8,19
Maybelline,mb,Fit Me,fmf,ffe3c2,32,0.24,1.0,92,2,255,227,194,92,5,20
Maybelline,mb,Fit Me,fmf,ffe0cd,23,0.2,1.0,91,2,255,224,205,91,8,13
Maybelline,mb,Fit Me,fmf,ffd3be,19,0.25,1.0,88,2,255,211,190,88,12,16
Maybelline,mb,Fit Me,fmf,bd9584,18,0.3,0.74,65,2,189,149,132,65,12,15
Maybelline,mb,Fit Me,fmf,eabda6,20,0.29,0.92,80,2,234,189,166,80,13,18
Maybelline,mb,Fit Me,fmf,fbd2ad,28,0.31,0.98,87,2,251,210,173,87,9,24
Maybelline,mb,Fit Me,fmf,e2b597,24,0.33,0.89,77,2,226,181,151,77,12,21
Maybelline,mb,Fit Me,fmf,e4b38e,26,0.38,0.89,77,2,228,179,142,76,13,26
Maybelline,mb,Fit Me,fmf,b2856f,20,0.38,0.7,60,2,178,133,111,59,14,19
Maybelline,mb,Fit Me,fmf,e8ba8c,30,0.4,0.91,79,2,232,186,140,78,11,30
Maybelline,mb,Fit Me,fmf,f3b584,26,0.46,0.95,79,2,243,181,132,78,17,34
Maybelline,mb,Fit Me,fmf,f0b996,23,0.37,0.94,80,2,240,185,150,79,15,25
Maybelline,mb,Fit Me,fmf,e3b082,28,0.43,0.89,76,2,227,176,130,76,13,31
Maybelline,mb,Fit Me,fmf,eab181,27,0.45,0.92,77,2,234,177,129,76,15,33
Maybelline,mb,Fit Me,fmf,9d7359,23,0.43,0.62,52,2,157,115,89,52,13,21
Maybelline,mb,Fit Me,fmf,e2aa7b,27,0.46,0.89,74,2,226,170,123,74,15,32
Maybelline,mb,Fit Me,fmf,d99358,27,0.59,0.85,67,2,217,147,88,67,20,42
Maybelline,mb,Fit Me,fmf,9c744f,29,0.49,0.61,52,2,156,116,79,52,11,26
Maybelline,mb,Fit Me,fmf,b18b65,30,0.43,0.69,61,2,177,139,101,61,9,26
Maybelline,mb,Fit Me,fmf,84583f,22,0.52,0.52,42,2,132,88,63,42,15,22
Maybelline,mb,Fit Me,fmf,7d5631,29,0.61,0.49,40,2,125,86,49,40,12,28
Maybelline,mb,Fit Me,fmf,c07746,24,0.64,0.75,57,2,192,119,70,57,24,39
Maybelline,mb,Fit Me,fmf,643c27,21,0.61,0.39,30,2,100,60,39,30,15,21
Maybelline,mb,Fit Me,fmf,edcfb9,25,0.22,0.93,85,2,237,207,185,85,7,15
Maybelline,mb,Fit Me,fmf,e1bba7,21,0.26,0.88,79,2,225,187,167,79,11,15
Maybelline,mb,Fit Me,fmf,c1a07e,30,0.35,0.76,68,2,193,160,126,68,7,22
Maybelline,mb,Fit Me,fmf,d09e7c,24,0.4,0.82,69,2,208,158,124,69,14,25
