filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,178,129,111,149,144,145,ok
black (10).jpg,Black,155,106,82,126,145,149,ok
black (100).jpg,Black,136,91,64,109,143,151,ok
black (101).jpg,Black,113,95,83,106,133,138,ok
black (102).jpg,Black,123,82,65,99,143,145,ok
black (103).jpg,Black,133,107,89,121,135,142,ok
black (104).jpg,Black,163,121,93,139,141,150,ok
black (105).jpg,Black,154,103,81,124,146,149,ok
black (106).jpg,Black,130,81,55,101,145,152,ok
black (107).jpg,Black,82,64,53,73,134,138,ok
black (108).jpg,Black,164,109,81,131,147,153,ok
black (109).jpg,Black,128,102,80,115,135,144,ok
black (11).jpg,Black,111,88,79,101,136,137,ok
black (110).jpg,Black,170,114,93,136,147,149,ok
black (111).jpg,Black,152,103,77,123,145,151,ok
black (112).jpg,Black,111,88,79,101,136,137,ok
black (113).jpg,Black,165,109,80,131,147,153,ok
black (114).jpg,Black,127,84,76,103,145,140,ok
black (115).jpg,Black,146,98,71,117,144,151,ok
black (116).jpg,Black,145,105,84,122,141,146,ok
black (117).jpg,Black,125,86,66,103,141,146,ok
black (118).jpg,Black,158,113,90,132,143,148,ok
black (119).jpg,Black,140,96,77,115,143,146,ok
black (12).jpg,Black,221,164,141,184,146,148,ok
black (120).jpg,Black,123,78,66,97,146,143,ok
black (121).jpg,Black,123,92,73,107,138,144,ok
black (122).jpg,Black,115,90,70,103,135,144,ok
black (123).jpg,Black,123,94,73,108,137,145,ok
black (124).jpg,Black,144,109,86,125,139,146,ok
black (125).jpg,Black,176,124,101,145,145,149,ok
black (13).jpg,Black,115,90,70,103,135,144,ok
black (14).jpg,Black,145,109,85,125,139,147,ok
black (15).jpg,Black,184,108,81,137,155,156,ok
black (16).jpg,Black,132,80,70,101,149,143,ok
black (17).jpg,Black,142,108,94,124,139,141,ok
black (18).jpg,Black,125,86,66,103,141,146,ok
black (19).jpg,Black,154,102,73,123,146,153,ok
black (2).jpg,Black,121,93,74,107,137,143,ok
black (20).jpg,Black,202,140,104,162,148,157,ok
black (21).jpg,Black,132,87,69,106,144,146,ok
black (22).jpg,Black,152,99,79,120,147,148,ok
black (23).jpg,Black,91,70,59,81,135,138,ok
black (24).jpg,Black,160,109,72,129,144,157,ok
black (25).jpg,Black,140,98,84,116,143,143,ok
black (26).jpg,Black,175,119,95,141,147,150,ok
black (27).jpg,Black,230,152,106,178,152,164,ok
black (28).jpg,Black,127,84,76,103,145,140,ok
black (29).jpg,Black,163,114,85,134,144,152,ok
black (3).jpg,Black,158,110,90,130,144,147,ok
black (30).jpg,Black,153,103,86,124,146,146,ok
black (31).jpg,Black,146,98,71,117,144,151,ok
black (32).jpg,Black,159,90,59,116,153,158,ok
black (33).jpg,Black,102,82,69,93,134,139,ok
black (34).jpg,Black,142,94,73,114,145,148,ok
black (35).jpg,Black,122,86,77,102,142,139,ok
black (36).jpg,Black,125,85,71,102,143,143,ok
black (37).jpg,Black,165,129,109,145,139,144,ok
black (38).jpg,Black,136,89,66,108,145,149,ok
black (39).jpg,Black,153,101,75,122,146,151,ok
black (4).jpg,Black,82,64,53,73,134,138,ok
black (40).jpg,Black,144,100,70,118,142,152,ok
black (41).jpg,Black,157,100,75,123,148,152,ok
black (42).jpg,Black,116,85,75,100,139,139,ok
black (43).jpg,Black,178,122,99,144,147,149,ok
black (44).jpg,Black,154,104,86,125,146,146,ok
black (45).jpg,Black,181,117,91,141,150,153,ok
black (46).jpg,Black,139,99,72,116,141,150,ok
black (47).jpg,Black,158,95,61,119,150,158,ok
black (48).jpg,Black,157,98,79,121,150,149,ok
black (49).jpg,Black,179,113,90,138,152,152,ok
black (5).jpg,Black,192,128,87,151,148,160,ok
black (50).jpg,Black,164,101,78,126,151,152,ok
black (51).jpg,Black,157,107,80,127,145,151,ok
black (52).jpg,Black,157,105,82,126,146,149,ok
black (53).jpg,Black,178,116,85,139,149,155,ok
black (54).jpg,Black,165,121,106,140,143,143,ok
black (55).jpg,Black,211,149,117,171,148,154,ok
black (56).jpg,Black,164,115,104,136,146,142,ok
black (57).jpg,Black,176,124,103,145,146,147,ok
black (58).jpg,Black,201,163,148,179,140,141,ok
black (59).jpg,Black,105,71,59,86,141,141,ok
black (6).jpg,Black,145,102,85,120,143,145,ok
black (60).jpg,Black,149,112,99,129,141,141,ok
black (61).jpg,Black,179,121,106,144,149,145,ok
black (62).jpg,Black,148,106,85,124,142,147,ok
black (63).jpg,Black,151,106,91,125,144,144,ok
black (64).jpg,Black,152,99,69,120,146,154,ok
black (65).jpg,Black,169,120,85,139,143,155,ok
black (66).jpg,Black,143,108,83,124,138,147,ok
black (67).jpg,Black,157,112,102,132,144,141,ok
black (68).jpg,Black,164,115,80,134,143,155,ok
black (69).jpg,Black,157,114,81,132,141,153,ok
black (7).jpg,Black,181,129,108,150,145,147,ok
black (70).jpg,Black,145,112,101,128,139,139,ok
black (71).jpg,Black,151,102,86,122,146,145,ok
black (72).jpg,Black,147,99,78,119,145,148,ok
black (73).jpg,Black,147,118,96,132,136,144,ok
black (74).jpg,Black,119,92,80,106,137,139,ok
black (75).jpg,Black,122,95,60,108,134,152,ok
black (76).jpg,Black,159,127,104,142,137,145,ok
black (77).jpg,Black,177,122,97,143,146,150,ok
black (78).jpg,Black,161,118,98,136,142,146,ok
black (79).jpg,Black,233,164,125,187,149,158,ok
black (8).jpg,Black,171,110,82,134,149,154,ok
black (80).jpg,Black,164,134,127,149,138,136,ok
black (81).jpg,Black,126,98,88,112,138,138,ok
black (82).jpg,Black,190,134,111,155,147,149,ok
black (83).jpg,Black,147,98,88,119,147,142,ok
black (84).jpg,Black,165,122,107,141,143,143,ok
black (85).jpg,Black,123,96,88,110,138,137,ok
black (86).jpg,Black,152,98,67,119,147,155,ok
black (87).jpg,Black,130,93,77,109,141,143,ok
black (88).jpg,Black,119,74,51,92,145,150,ok
black (89).jpg,Black,156,108,96,128,146,142,ok
black (9).jpg,Black,150,94,61,116,148,156,ok
black (90).jpg,Black,145,106,75,123,140,151,ok
black (91).jpg,Black,131,87,68,105,144,147,ok
black (92).jpg,Black,217,169,144,186,142,148,ok
black (93).jpg,Black,164,100,76,125,151,153,ok
black (94).jpg,Black,149,108,89,126,142,145,ok
black (95).jpg,Black,142,97,76,116,144,147,ok
black (96).jpg,Black,140,112,98,126,137,140,ok
black (97).jpg,Black,160,111,87,131,145,149,ok
black (98).jpg,Black,140,97,80,115,143,145,ok
black (99).jpg,Black,136,91,78,110,145,143,ok
brown (1).jpg,Brown,181,119,85,142,149,157,ok
brown (10).jpg,Brown,235,165,142,189,151,150,ok
