filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,217,172,152,189,142,144,ok
black (10).jpg,Black,217,171,144,187,141,148,ok
black (100).jpg,Black,215,171,141,187,140,150,ok
black (101).jpg,Black,176,158,146,169,132,137,ok
black (102).jpg,Black,209,167,148,183,141,144,ok
black (103).jpg,Black,193,166,149,179,135,140,ok
black (104).jpg,Black,209,171,142,185,138,148,ok
black (105).jpg,Black,209,161,138,179,143,147,ok
black (106).jpg,Black,211,164,137,181,142,149,ok
black (107).jpg,Black,185,167,156,178,133,136,ok
black (108).jpg,Black,220,168,140,186,143,150,ok
black (109).jpg,Black,204,173,149,186,136,145,ok
black (11).jpg,Black,189,165,156,178,135,136,ok
black (110).jpg,Black,222,172,151,190,143,146,ok
black (111).jpg,Black,207,160,132,177,142,149,ok
black (112).jpg,Black,189,165,156,178,135,136,ok
black (113).jpg,Black,215,165,132,183,142,152,ok
black (114).jpg,Black,201,158,147,176,142,140,ok
black (115).jpg,Black,212,162,131,180,142,151,ok
black (116).jpg,Black,210,171,147,186,139,146,ok
black (117).jpg,Black,205,166,144,181,139,145,ok
black (118).jpg,Black,211,166,141,183,141,147,ok
black (119).jpg,Black,210,166,145,183,141,145,ok
black (12).jpg,Black,220,166,142,185,145,148,ok
black (120).jpg,Black,207,163,150,180,142,141,ok
black (121).jpg,Black,200,169,151,182,136,142,ok
black (122).jpg,Black,192,167,144,179,134,143,ok
black (123).jpg,Black,200,169,148,182,136,143,ok
black (124).jpg,Black,203,166,137,180,137,148,ok
black (125).jpg,Black,219,171,148,188,142,147,ok
black (13).jpg,Black,192,167,144,179,134,143,ok
black (14).jpg,Black,203,166,137,180,137,148,ok
black (15).jpg,Black,228,161,131,184,149,154,ok
black (16).jpg,Black,212,160,150,180,146,141,ok
black (17).jpg,Black,197,164,150,178,138,140,ok
black (18).jpg,Black,205,166,144,181,139,145,ok
black (19).jpg,Black,219,171,139,188,141,151,ok
black (2).jpg,Black,198,170,152,183,135,141,ok
black (20).jpg,Black,224,169,135,188,144,153,ok
black (21).jpg,Black,208,165,146,182,141,144,ok
black (22).jpg,Black,216,167,147,185,143,145,ok
black (23).jpg,Black,192,167,155,179,135,138,ok
black (24).jpg,Black,217,172,137,188,140,152,ok
