filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,178,129,111,149,144,145,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,23.78
black (101).jpg,Black,113,95,83,106,133,138,ok,black (101).jpg,#534035,83,64,53,74,134,138,20.05
black (104).jpg,Black,163,121,93,139,141,150,ok,black (104).jpg,#58402D,88,64,45,75,136,144,34.56
black (105).jpg,Black,154,103,81,124,146,149,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,20.25
black (111).jpg,Black,152,103,77,123,145,151,ok,black (111).jpg,#653321,101,51,33,70,148,149,31.3
black (112).jpg,Black,111,88,79,101,136,137,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,23.36
black (115).jpg,Black,146,98,71,117,144,151,ok,black (115).jpg,#643E22,100,62,34,77,142,152,23.51
black (117).jpg,Black,125,86,66,103,141,146,ok,black (117).jpg,#5F3819,95,56,25,71,142,154,20.7
black (12).jpg,Black,221,164,141,184,146,148,ok,black (12).jpg,##AA684E,170,104,64,129,151,161,21.29
black (120).jpg,Black,123,78,66,97,146,143,ok,black (120).jpg,#4D1D11,77,29,17,46,150,147,38.77
black (122).jpg,Black,115,90,70,103,135,144,ok,black (122).jpg,#563C2C,86,60,44,71,137,143,20.64
black (125).jpg,Black,176,124,101,145,145,149,ok,black (125).jpg,#6E2E24,110,46,36,71,156,148,39.72
black (13).jpg,Black,115,90,70,103,135,144,ok,black (13).jpg,#4B351E,75,53,30,62,135,147,27.66
black (21).jpg,Black,132,87,69,106,144,146,ok,black (21).jpg,#57291C,87,41,28,58,148,146,32.55
black (27).jpg,Black,230,152,106,178,152,164,ok,black (27).jpg,#AD5F3B,173,95,59,124,157,162,21.54
black (28).jpg,Black,127,84,76,103,145,140,ok,black (28).jpg,#473B3C,71,59,60,67,133,130,23.73
black (3).jpg,Black,158,110,90,130,144,147,ok,black (3).jpg,#534035,83,64,53,74,134,138,31.54
black (30).jpg,Black,153,103,86,124,146,146,ok,black (30).jpg,#613729,97,55,41,71,145,145,31.01
black (35).jpg,Black,122,86,77,102,142,139,ok,black (35).jpg,#582814,88,40,20,57,148,151,31.36
black (54).jpg,Black,165,121,106,140,143,143,ok,black (54).jpg,#784230,120,66,48,87,149,149,27.19
black (58).jpg,Black,201,163,148,179,140,141,ok,black (58).jpg,#A06A51,160,106,81,128,147,151,20.04
black (7).jpg,Black,181,129,108,150,145,147,ok,black (7).jpg,#7F4024,127,64,36,88,153,157,30.53
black (70).jpg,Black,145,112,101,128,139,139,ok,black (70).jpg,#6C3A27,108,58,39,77,148,149,28.61
black (74).jpg,Black,119,92,80,106,137,139,ok,black (74).jpg,#593E21,89,62,33,73,136,151,21.0
black (76).jpg,Black,159,127,104,142,137,145,ok,black (76).jpg,#604E3A,96,78,58,88,132,143,27.39
black (79).jpg,Black,233,164,125,187,149,158,ok,black (79).jpg,#B06B44,176,107,68,133,152,161,20.39
black (82).jpg,Black,190,134,111,155,147,149,ok,black (82).jpg,#985030,152,80,48,108,155,160,21.21
black (83).jpg,Black,147,98,88,119,147,142,ok,black (83).jpg,#542A1D,84,42,29,57,146,145,39.6
black (85).jpg,Black,123,96,88,110,138,137,ok,black (85).jpg,#542E23,84,46,35,60,144,143,32.89
black (89).jpg,Black,156,108,96,128,146,142,ok,black (89).jpg,#6D4A2B,109,74,43,88,139,152,21.77
black (93).jpg,Black,164,100,76,125,151,153,ok,black (93).jpg,#773516,119,53,22,78,155,160,26.58
black (96).jpg,Black,140,112,98,126,137,140,ok,black (96).jpg,#5A4439,90,68,57,79,136,138,26.34
brown (119).jpg,Brown,245,182,151,202,147,153,ok,brown (119).jpg,#CE6B3A,206,107,58,143,163,172,20.93
brown (34).jpg,Brown,241,183,151,201,145,152,ok,brown (34).jpg,#C87144,200,113,68,144,158,167,20.18
brown (45).jpg,Brown,244,170,124,193,150,163,ok,brown (45).jpg,#BA673F,186,103,63,134,158,165,21.89
brown (51).jpg,Brown,243,207,185,218,137,144,ok,brown (51).jpg,#C4805D,196,128,93,153,151,158,21.53
brown (58).jpg,Brown,216,174,158,190,141,142,ok,brown (58).jpg,#A1705F,161,112,95,132,145,145,21.78
brown (84).jpg,Brown,235,175,152,195,147,148,ok,brown (84).jpg,#B47157,180,113,87,138,152,153,20.77
brown (99).jpg,Brown,249,201,150,214,138,160,ok,brown (99).jpg,#C48059,196,128,89,153,150,160,20.54
