filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,178,129,111,149,144,145,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,23.78
black (10).jpg,Black,155,106,82,126,145,149,ok,black (10).jpg,#B57E60,181,126,96,147,146,153,9.18
black (100).jpg,Black,136,91,64,109,143,151,ok,black (100).jpg,#8C4E29,140,78,41,102,151,161,4.02
black (101).jpg,Black,113,95,83,106,133,138,ok,black (101).jpg,#534035,83,64,53,74,134,138,20.05
black (102).jpg,Black,123,82,65,99,143,145,ok,black (102).jpg,#6D3820,109,56,32,76,149,153,14.79
black (103).jpg,Black,133,107,89,121,135,142,ok,black (103).jpg,#654B35,101,75,53,87,136,145,18.82
black (104).jpg,Black,163,121,93,139,141,150,ok,black (104).jpg,#58402D,88,64,45,75,136,144,34.56
black (105).jpg,Black,154,103,81,124,146,149,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,20.25
black (106).jpg,Black,130,81,55,101,145,152,ok,black (106).jpg,#8C5336,140,83,54,105,149,155,2.29
black (107).jpg,Black,82,64,53,73,134,138,ok,black (107).jpg,#412F25,65,47,37,54,135,138,15.94
black (108).jpg,Black,164,109,81,131,147,153,ok,black (108).jpg,#A2603E,162,96,62,121,151,159,4.74
black (109).jpg,Black,128,102,80,115,135,144,ok,black (109).jpg,#7C5E44,124,94,68,108,136,148,3.72
black (11).jpg,Black,111,88,79,101,136,137,ok,black (11).jpg,#553E34,85,62,52,72,137,138,18.79
black (110).jpg,Black,170,114,93,136,147,149,ok,black (110).jpg,#9C5F4C,156,95,76,119,151,149,7.92
black (111).jpg,Black,152,103,77,123,145,151,ok,black (111).jpg,#653321,101,51,33,70,148,149,31.3
black (112).jpg,Black,111,88,79,101,136,137,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,23.36
black (113).jpg,Black,165,109,80,131,147,153,ok,black (113).jpg,#96563B,150,86,59,111,152,155,9.73
black (114).jpg,Black,127,84,76,103,145,140,ok,black (114).jpg,#7A3D32,122,61,50,85,153,147,10.92
black (115).jpg,Black,146,98,71,117,144,151,ok,black (115).jpg,#643E22,100,62,34,77,142,152,23.51
black (116).jpg,Black,145,105,84,122,141,146,ok,black (116).jpg,#9C6D52,156,109,82,128,143,151,2.94
black (117).jpg,Black,125,86,66,103,141,146,ok,black (117).jpg,#5F3819,95,56,25,71,142,154,20.7
black (118).jpg,Black,158,113,90,132,143,148,ok,black (118).jpg,#8A563F,138,86,63,107,147,150,12.27
black (119).jpg,Black,140,96,77,115,143,146,ok,black (119).jpg,#8A5335,138,83,53,104,148,155,5.96
black (12).jpg,Black,221,164,141,184,146,148,ok,black (12).jpg,##AA684E,170,104,64,129,151,161,21.29
black (120).jpg,Black,123,78,66,97,146,143,ok,black (120).jpg,#4D1D11,77,29,17,46,150,147,38.77
black (121).jpg,Black,123,92,73,107,138,144,ok,black (121).jpg,#75462B,117,70,43,88,145,153,11.18
black (122).jpg,Black,115,90,70,103,135,144,ok,black (122).jpg,#563C2C,86,60,44,71,137,143,20.64
black (123).jpg,Black,123,94,73,108,137,145,ok,black (123).jpg,#795032,121,80,50,97,142,152,6.23
black (124).jpg,Black,144,109,86,125,139,146,ok,black (124).jpg,#715138,113,81,56,95,138,148,15.83
black (125).jpg,Black,176,124,101,145,145,149,ok,black (125).jpg,#6E2E24,110,46,36,71,156,148,39.72
black (13).jpg,Black,115,90,70,103,135,144,ok,black (13).jpg,#4B351E,75,53,30,62,135,147,27.66
black (14).jpg,Black,145,109,85,125,139,147,ok,black (14).jpg,#725139,114,81,57,95,139,148,15.81
black (15).jpg,Black,184,108,81,137,155,156,ok,black (15).jpg,#BD6546,189,101,70,134,161,161,1.51
black (16).jpg,Black,132,80,70,101,149,143,ok,black (16).jpg,#733D2B,115,61,43,82,150,150,11.83
black (17).jpg,Black,142,108,94,124,139,141,ok,black (17).jpg,#7A4B3B,122,75,59,94,146,146,15.97
black (18).jpg,Black,125,86,66,103,141,146,ok,black (18).jpg,#603920,96,57,32,72,143,151,19.91
black (19).jpg,Black,154,102,73,123,146,153,ok,black (19).jpg,#955937,149,89,55,112,149,158,5.51
black (2).jpg,Black,121,93,74,107,137,143,ok,black (2).jpg,#704932,112,73,50,89,142,148,10.51
black (20).jpg,Black,202,140,104,162,148,157,ok,black (20).jpg,#C87A4A,200,122,74,150,154,167,4.81
black (21).jpg,Black,132,87,69,106,144,146,ok,black (21).jpg,#57291C,87,41,28,58,148,146,32.55
