filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (104).jpg,Black,197,151,117,168,141,153,ok,black (104).jpg,#58402D,88,64,45,75,136,144,44.94
black (106).jpg,Black,103,54,28,72,148,153,ok,black (106).jpg,#8C5336,140,83,54,105,149,155,20.97
black (120).jpg,Black,97,50,38,68,148,145,ok,black (120).jpg,#4D1D11,77,29,17,46,150,147,20.21
black (125).jpg,Black,150,97,77,119,147,148,ok,black (125).jpg,#6E2E24,110,46,36,71,156,148,28.79
black (3).jpg,Black,139,91,71,111,145,148,ok,black (3).jpg,#534035,83,64,53,74,134,138,22.69
black (56).jpg,Black,227,179,169,196,144,140,ok,black (56).jpg,#B96F64,185,111,100,139,156,147,20.71
black (59).jpg,Black,78,46,35,58,142,141,ok,black (59).jpg,#874830,135,72,48,97,152,154,27.77
black (70).jpg,Black,132,99,88,115,140,139,ok,black (70).jpg,#6C3A27,108,58,39,77,148,149,22.57
black (83).jpg,Black,113,65,55,85,148,143,ok,black (83).jpg,#542A1D,84,42,29,57,146,145,21.42
black (93).jpg,Black,204,133,97,158,152,159,ok,black (93).jpg,#773516,119,53,22,78,155,160,39.65
brown (1).jpg,Brown,165,103,70,127,150,157,ok,brown (1).jpg,#E09E7C,224,158,124,180,149,156,20.78
brown (114).jpg,Brown,139,89,63,109,146,152,ok,brown (114).jpg,#CE8667,206,134,103,160,152,156,22.52
brown (22).jpg,Brown,197,165,146,179,137,142,ok,brown (22).jpg,#995C38,153,92,56,115,149,159,26.18
brown (51).jpg,Brown,237,201,179,213,137,144,ok,brown (51).jpg,#C4805D,196,128,93,153,151,158,20.13
white (120).jpg,White,222,143,130,171,157,147,ok,white (120).jpg,#F5E8DD,245,232,221,237,131,135,20.37
white (28).jpg,White,182,131,118,152,146,143,ok,white (28).jpg,#F8D4C1,248,212,193,223,138,142,23.26
white (6).jpg,White,184,130,91,150,144,157,ok,white (6).jpg,#EEC3A5,238,195,165,209,139,149,20.09
white (83).jpg,White,158,128,118,143,138,138,ok,white (83).jpg,#EFD8DB,239,216,219,225,136,129,27.32
