filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,217,172,152,189,142,144,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,37.42
black (100).jpg,Black,215,171,141,187,140,150,ok,black (100).jpg,#8C4E29,140,78,41,102,151,161,35.21
black (101).jpg,Black,176,158,146,169,132,137,ok,black (101).jpg,#534035,83,64,53,74,134,138,45.89
black (102).jpg,Black,209,167,148,183,141,144,ok,black (102).jpg,#6D3820,109,56,32,76,149,153,48.86
black (103).jpg,Black,193,166,149,179,135,140,ok,black (103).jpg,#654B35,101,75,53,87,136,145,41.03
black (104).jpg,Black,209,171,142,185,138,148,ok,black (104).jpg,#58402D,88,64,45,75,136,144,50.05
black (105).jpg,Black,209,161,138,179,143,147,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,41.04
black (106).jpg,Black,211,164,137,181,142,149,ok,black (106).jpg,#8C5336,140,83,54,105,149,155,31.77
black (107).jpg,Black,185,167,156,178,133,136,ok,black (107).jpg,#412F25,65,47,37,54,135,138,62.38
black (108).jpg,Black,220,168,140,186,143,150,ok,black (108).jpg,#A2603E,162,96,62,121,151,159,25.51
black (109).jpg,Black,204,173,149,186,136,145,ok,black (109).jpg,#7C5E44,124,94,68,108,136,148,31.8
black (11).jpg,Black,189,165,156,178,135,136,ok,black (11).jpg,#553E34,85,62,52,72,137,138,49.93
black (110).jpg,Black,222,172,151,190,143,146,ok,black (110).jpg,#9C5F4C,156,95,76,119,151,149,27.7
black (111).jpg,Black,207,160,132,177,142,149,ok,black (111).jpg,#653321,101,51,33,70,148,149,50.96
black (112).jpg,Black,189,165,156,178,135,136,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,53.9
black (113).jpg,Black,215,165,132,183,142,152,ok,black (113).jpg,#96563B,150,86,59,111,152,155,29.4
black (114).jpg,Black,201,158,147,176,142,140,ok,black (114).jpg,#7A3D32,122,61,50,85,153,147,41.29
black (115).jpg,Black,212,162,131,180,142,151,ok,black (115).jpg,#643E22,100,62,34,77,142,152,47.34
