filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (1).jpg,Make Up For Ever,Ultra HD,996754,1.61,Maybelline,Fit Me,9d7359,1.61,Make Up For Ever,Ultra HD,9c624a,1.61
black (10).jpg,Make Up For Ever,Ultra HD,b68069,3.89,Maybelline,Fit Me,b2856f,3.89,Make Up For Ever,Ultra HD,be8470,3.89
black (100).jpg,Maybelline,Fit Me,643c27,3.83,L'Oréal,Infalliable,754728,3.83,MAC,Studio Fix,724a32,3.83
black (101).jpg,Maybelline,Fit Me,5e4638,5.42,Maybelline,Fit Me,5c4433,5.42,Maybelline,Fit Me,6b5041,5.42
black (102).jpg,Maybelline,Fit Me,5e3a23,4.57,Maybelline,Fit Me,643c27,4.57,Make Up For Ever,Ultra HD,644136,4.57
black (103).jpg,Maybelline,Fit Me,735642,2.83,Maybelline,Fit Me,6b5041,2.83,Maybelline,Fit Me,7d5c4d,2.83
black (104).jpg,L'Oréal,True Match,c29979,2.83,Make Up For Ever,Ultra HD,c7977b,2.83,Maybelline,Fit Me,d09e7c,2.83
black (105).jpg,Make Up For Ever,Ultra HD,8e5642,4.44,Maybelline,Fit Me,84583f,4.44,MAC,Studio Fix,724a32,4.44
black (106).jpg,L'Oréal,True Match,693720,1.26,Maybelline,Fit Me,643c27,1.26,Maybelline,Fit Me,5e3a23,1.26
black (107).jpg,Maybelline,Fit Me,3f2018,8.25,Maybelline,Fit Me,5c4433,8.25,Maybelline,Fit Me,5e4638,8.25
black (108).jpg,Make Up For Ever,Ultra HD,8e5642,6.29,L'Oréal,Infalliable,754728,6.29,Maybelline,Fit Me,84583f,6.29
black (109).jpg,Maybelline,Fit Me,735642,2.63,Maybelline,Fit Me,7d5c4d,2.63,Maybelline,Fit Me,6b5041,2.63
black (11).jpg,Maybelline,Fit Me,5e4638,3.64,Maybelline,Fit Me,5c4433,3.64,Maybelline,Fit Me,6b5041,3.64
black (110).jpg,Make Up For Ever,Ultra HD,b68069,1.83,Make Up For Ever,Ultra HD,b17862,1.83,Make Up For Ever,Ultra HD,be8470,1.83
black (111).jpg,L'Oréal,Infalliable,754728,4.38,MAC,Studio Fix,724a32,4.38,Make Up For Ever,Ultra HD,8e5642,4.38
black (112).jpg,Maybelline,Fit Me,5e4638,3.64,Maybelline,Fit Me,5c4433,3.64,Maybelline,Fit Me,6b5041,3.64
black (113).jpg,L'Oréal,True Match,b07555,2.79,MAC,Studio Fix,a9734e,2.79,Make Up For Ever,Ultra HD,b17862,2.79
black (114).jpg,Make Up For Ever,Ultra HD,644136,3.09,Make Up For Ever,Ultra HD,784a42,3.09,Maybelline,Fit Me,643c27,3.09
black (115).jpg,MAC,Studio Fix,724a32,4.25,L'Oréal,Infalliable,754728,4.25,Maybelline,Fit Me,84583f,4.25
black (116).jpg,Maybelline,Fit Me,84583f,4.19,Maybelline,Fit Me,7d5c4d,4.19,Maybelline,Fit Me,735642,4.19
black (117).jpg,Maybelline,Fit Me,643c27,2.09,Maybelline,Fit Me,5e3a23,2.09,MAC,Studio Fix,724a32,2.09
black (118).jpg,Maybelline,Fit Me,84583f,3.21,Make Up For Ever,Ultra HD,996754,3.21,Make Up For Ever,Ultra HD,8e5642,3.21
black (119).jpg,Maybelline,Fit Me,84583f,4.21,MAC,Studio Fix,724a32,4.21,Make Up For Ever,Ultra HD,8e5642,4.21
black (12).jpg,Make Up For Ever,Ultra HD,9c624a,1.63,Make Up For Ever,Ultra HD,996754,1.63,Make Up For Ever,Ultra HD,8e5642,1.63
black (120).jpg,Maybelline,Fit Me,643c27,7.22,Maybelline,Fit Me,5e3a23,7.22,L'Oréal,True Match,693720,7.22
black (121).jpg,Maybelline,Fit Me,5e3a23,4.78,Maybelline,Fit Me,643c27,4.78,Maybelline,Fit Me,5c4433,4.78
black (122).jpg,Maybelline,Fit Me,5c4433,4.08,Maybelline,Fit Me,5e4638,4.08,Maybelline,Fit Me,5e3a23,4.08
black (123).jpg,Maybelline,Fit Me,5c4433,3.63,Maybelline,Fit Me,5e4638,3.63,Make Up For Ever,Ultra HD,644136,3.63
black (124).jpg,Maybelline,Fit Me,735642,4.92,Maybelline,Fit Me,84583f,4.92,Maybelline,Fit Me,7d5c4d,4.92
black (125).jpg,Make Up For Ever,Ultra HD,996754,2.73,Make Up For Ever,Ultra HD,9c624a,2.73,Make Up For Ever,Ultra HD,8e5642,2.73
black (13).jpg,Maybelline,Fit Me,5c4433,4.08,Maybelline,Fit Me,5e4638,4.08,Maybelline,Fit Me,5e3a23,4.08
black (14).jpg,Maybelline,Fit Me,735642,4.92,Maybelline,Fit Me,84583f,4.92,Maybelline,Fit Me,7d5c4d,4.92
black (15).jpg,Make Up For Ever,Ultra HD,c98567,3.82,Make Up For Ever,Ultra HD,c78569,3.82,Make Up For Ever,Ultra HD,d19578,3.82
black (16).jpg,Make Up For Ever,Ultra HD,784a42,5.87,Make Up For Ever,Ultra HD,644136,5.87,Maybelline,Fit Me,643c27,5.87
black (17).jpg,Maybelline,Fit Me,6b5041,3.35,Make Up For Ever,Ultra HD,644136,3.35,Maybelline,Fit Me,5e4638,3.35
black (18).jpg,Maybelline,Fit Me,643c27,2.09,Maybelline,Fit Me,5e3a23,2.09,MAC,Studio Fix,724a32,2.09
black (19).jpg,L'Oréal,Infalliable,754728,3.67,MAC,Studio Fix,724a32,3.67,Make Up For Ever,Ultra HD,8e5642,3.67
black (2).jpg,Maybelline,Fit Me,5c4433,5.51,Maybelline,Fit Me,5e3a23,5.51,Maybelline,Fit Me,5e4638,5.51
black (20).jpg,Make Up For Ever,Ultra HD,c98567,5.07,MAC,Studio Fix,b9855a,5.07,L'Oréal,True Match,b07555,5.07
black (21).jpg,Maybelline,Fit Me,643c27,2.99,Maybelline,Fit Me,5e3a23,2.99,L'Oréal,True Match,693720,2.99
black (22).jpg,L'Oréal,True Match,693720,6.31,MAC,Studio Fix,724a32,6.31,L'Oréal,Infalliable,754728,6.31
black (23).jpg,Maybelline,Fit Me,5c4433,5.89,Maybelline,Fit Me,5e4638,5.89,Make Up For Ever,Ultra HD,644136,5.89
black (24).jpg,L'Oréal,Infalliable,754728,6.16,Maybelline,Fit Me,7d5631,6.16,Maybelline,Fit Me,84583f,6.16
black (25).jpg,Make Up For Ever,Ultra HD,784a42,3.62,MAC,Studio Fix,724a32,3.62,Make Up For Ever,Ultra HD,644136,3.62
black (26).jpg,Make Up For Ever,Ultra HD,9c624a,2.17,Make Up For Ever,Ultra HD,996754,2.17,Make Up For Ever,Ultra HD,8e5642,2.17
black (27).jpg,Maybelline,Fit Me,c07746,3.98,MAC,Studio Fix,d5844b,3.98,L'Oréal,Infalliable,c27f48,3.98
