filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (1).jpg,L'Oréal,Infalliable,deb09e,1.88,Make Up For Ever,Ultra HD,dca795,1.88,L'Oréal,True Match,dcb29a,1.88
black (10).jpg,Make Up For Ever,Ultra HD,daad90,1.56,Make Up For Ever,Ultra HD,d4a689,1.56,MAC,Studio Fix,d1a88a,1.56
black (100).jpg,Make Up For Ever,Ultra HD,d8ab8b,1.05,Make Up For Ever,Ultra HD,daad90,1.05,Make Up For Ever,Ultra HD,d4a689,1.05
black (101).jpg,Maybelline,Fit Me,bd9584,10.08,L'Oréal,Infalliable,d1a396,10.08,Maybelline,Fit Me,c1a07e,10.08
black (102).jpg,L'Oréal,Infalliable,d1a396,3.68,Make Up For Ever,Ultra HD,dca795,3.68,L'Oréal,Infalliable,deb09e,3.68
black (103).jpg,Maybelline,Fit Me,bd9584,7.81,L'Oréal,Infalliable,d1a396,7.81,Make Up For Ever,Ultra HD,dcb59c,7.81
black (104).jpg,MAC,Studio Fix,d1a88a,1.52,Make Up For Ever,Ultra HD,daad90,1.52,MAC,Studio Fix,d5b293,1.52
black (105).jpg,Make Up For Ever,Ultra HD,d79e89,3.01,Make Up For Ever,Ultra HD,c99980,3.01,Make Up For Ever,Ultra HD,dca795,3.01
black (106).jpg,Make Up For Ever,Ultra HD,d4a689,1.74,MAC,Studio Fix,d1a88a,1.74,Make Up For Ever,Ultra HD,d9a586,1.74
black (107).jpg,Maybelline,Fit Me,bd9584,11.0,L'Oréal,Infalliable,d1a396,11.0,MAC,Studio Fix,dcbca2,11.0
black (108).jpg,Make Up For Ever,Ultra HD,d9a586,2.21,Make Up For Ever,Ultra HD,d4a689,2.21,Make Up For Ever,Ultra HD,d8ab8b,2.21
black (109).jpg,Make Up For Ever,Ultra HD,dcb59c,3.79,MAC,Studio Fix,d5b293,3.79,MAC,Studio Fix,dcbca2,3.79
black (11).jpg,L'Oréal,Infalliable,d1a396,9.51,Maybelline,Fit Me,bd9584,9.51,Make Up For Ever,Ultra HD,dcb59c,9.51
black (110).jpg,L'Oréal,Infalliable,deb09e,2.69,Make Up For Ever,Ultra HD,dca795,2.69,L'Oréal,True Match,dcb29a,2.69
black (111).jpg,Make Up For Ever,Ultra HD,c99980,2.79,Make Up For Ever,Ultra HD,d4a689,2.79,L'Oréal,Infalliable,cf9c7d,2.79
black (112).jpg,L'Oréal,Infalliable,d1a396,9.51,Maybelline,Fit Me,bd9584,9.51,Make Up For Ever,Ultra HD,dcb59c,9.51
black (113).jpg,Make Up For Ever,Ultra HD,d9a586,1.03,Make Up For Ever,Ultra HD,d4a689,1.03,Make Up For Ever,Ultra HD,d8ab8b,1.03
black (114).jpg,L'Oréal,Infalliable,d1a396,2.43,Maybelline,Fit Me,bd9584,2.43,Make Up For Ever,Ultra HD,dca795,2.43
black (115).jpg,Make Up For Ever,Ultra HD,d9a586,2.0,Make Up For Ever,Ultra HD,d4a689,2.0,L'Oréal,Infalliable,cf9c7d,2.0
black (116).jpg,MAC,Studio Fix,d1a88a,3.14,Make Up For Ever,Ultra HD,dcb59c,3.14,L'Oréal,True Match,dcb29a,3.14
black (117).jpg,MAC,Studio Fix,d1a88a,4.13,Make Up For Ever,Ultra HD,daad90,4.13,Make Up For Ever,Ultra HD,dcb59c,4.13
black (118).jpg,MAC,Studio Fix,d1a88a,2.84,Make Up For Ever,Ultra HD,d4a689,2.84,Make Up For Ever,Ultra HD,daad90,2.84
black (119).jpg,Make Up For Ever,Ultra HD,dca795,4.19,L'Oréal,Infalliable,deb09e,4.19,L'Oréal,True Match,dcb29a,4.19
black (12).jpg,Make Up For Ever,Ultra HD,d79e89,2.92,Make Up For Ever,Ultra HD,dca795,2.92,Make Up For Ever,Ultra HD,d9a586,2.92
black (120).jpg,L'Oréal,Infalliable,d1a396,1.08,Make Up For Ever,Ultra HD,dca795,1.08,L'Oréal,Infalliable,deb09e,1.08
black (121).jpg,Make Up For Ever,Ultra HD,dcb59c,6.44,L'Oréal,Infalliable,d1a396,6.44,MAC,Studio Fix,dcbca2,6.44
black (122).jpg,Maybelline,Fit Me,c1a07e,7.41,Make Up For Ever,Ultra HD,dcb59c,7.41,MAC,Studio Fix,d5b293,7.41
black (123).jpg,Make Up For Ever,Ultra HD,dcb59c,5.87,MAC,Studio Fix,d1a88a,5.87,L'Oréal,True Match,dcb29a,5.87
